time,vcache,global_ctr,tag,instr_ld,instr_ld_ld,instr_ld_ldu,instr_ld_lw,instr_ld_lwu,instr_ld_lh,instr_ld_lhu,instr_ld_lb,instr_ld_lbu,instr_st,instr_sm_sd,instr_sm_sw,instr_sm_sh,instr_sm_sb,instr_tagst,instr_tagfl,instr_taglv,instr_tagla,instr_afl,instr_aflinv,instr_ainv,instr_alock,instr_aunlock,instr_atomic,instr_amoswap,instr_amoor,miss_ld,miss_st,stall_miss,stall_idle,dma_read_req,dma_write_req
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[12].vcache.cache.vcache_prof,7026556,2182610944,518,0,0,518,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020347,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[13].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[14].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[15].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[16].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3766,7020602,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[17].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[18].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[19].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[20].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[21].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1314,0,1314,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020883,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[22].vcache.cache.vcache_prof,7026556,2182610944,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020864,45,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[23].vcache.cache.vcache_prof,7026556,2182610944,214,0,0,214,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,4160,7019995,46,43
275681600000,tb.card.fpga.CL.lv1_vcache.vcache[24].vcache.cache.vcache_prof,7026556,2182610944,361,0,0,361,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020464,46,43
